rank,x0,y0,d,theta0_degree,delta_theta_degree,gain,mse,rmse
261,39.2173,58.1080,0.2859,29.6514,1.0259,1.3944,61.1374,7.8190
262,39.8476,58.3798,0.2829,26.8205,1.0493,1.3823,61.2154,7.8240
263,39.2940,53.6419,0.2831,32.6530,0.9746,1.3993,61.3335,7.8316
264,40.3502,53.2059,0.2776,31.6808,0.9673,1.3873,61.3699,7.8339
265,39.8957,52.8525,0.2798,32.3277,1.0054,1.3840,61.3902,7.8352
266,42.2005,54.7432,0.2688,31.3271,1.0105,1.3553,61.5267,7.8439
267,39.4931,54.7234,0.2825,31.1178,1.0307,1.3849,61.6409,7.8512
268,38.7960,57.0901,0.2873,29.4573,1.0286,1.3970,61.6505,7.8518
269,42.0721,59.3340,0.2726,25.9303,1.0125,1.3642,61.9245,7.8692
270,41.4711,53.2636,0.2720,34.3114,0.9425,1.3789,62.0486,7.8771
271,41.0515,57.0357,0.2759,28.0297,1.0508,1.3644,62.1153,7.8813
272,42.0809,53.9279,0.2691,31.8415,1.0051,1.3569,62.1613,7.8842
273,38.6595,57.2736,0.2881,28.4104,1.0186,1.4009,62.2127,7.8875
274,41.9184,59.5670,0.2735,24.6854,1.0144,1.3661,62.3664,7.8972
275,40.7127,57.2294,0.2777,27.2838,0.9697,1.3860,62.3932,7.8989
276,38.6616,55.0743,0.2869,33.0431,0.9911,1.4041,62.5231,7.9072
277,38.5902,57.0851,0.2883,29.6392,1.0100,1.4033,62.5310,7.9077
278,39.4537,58.8237,0.2852,27.2625,1.0023,1.3975,62.5372,7.9080
279,42.4648,58.4298,0.2698,27.2569,0.9844,1.3630,62.5896,7.9114
280,39.6225,53.3043,0.2813,33.1885,1.0081,1.3866,62.5941,7.9116
281,40.5366,52.2649,0.2764,33.7315,0.9891,1.3788,62.6436,7.9148
282,40.2051,54.1462,0.2787,30.9705,1.0354,1.3740,62.9168,7.9320
283,38.6234,56.8038,0.2880,29.8989,0.9970,1.4052,62.9512,7.9342
284,41.8864,53.6207,0.2700,31.3630,1.0125,1.3572,62.9715,7.9355
285,41.7144,53.7171,0.2709,33.6619,1.0000,1.3622,63.0148,7.9382
286,41.6491,55.6777,0.2721,31.5662,1.0231,1.3601,63.0503,7.9404
287,39.1746,58.4820,0.2864,28.4911,1.0319,1.3934,63.0917,7.9430
288,40.1792,52.4387,0.2783,32.9703,0.9797,1.3854,63.2098,7.9505
289,38.6927,55.2367,0.2868,29.1435,1.0112,1.3990,63.2480,7.9529
290,41.1385,52.3568,0.2734,32.8540,0.9919,1.3703,63.2691,7.9542
291,39.3950,53.1316,0.2824,33.4806,0.9723,1.3974,63.3137,7.9570
